Running 2 Tests ...
Test (part1.leader_election): Initial election
[1637688728142][raft.h:226][node 0 term 0] start
[1637688728143][raft.h:226][node 1 term 0] start
[1637688728143][raft.h:226][node 2 term 0] start
[1637688729736][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729749][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729749][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729759][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688729759][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729759][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729770][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729770][raft.h:337][node 0 term 1] RPC append_entries
[1637688729770][raft.h:337][node 1 term 1] RPC append_entries
[1637688729770][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729780][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729780][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
